id,originX,originY,destX,destY,lambda,Pw,Lw,ew
408,165,97,93,95,0.2,0.996796,72.7087,60.949
409,125,88,67,66,0.2,0.898621,78.4883,48.9896
410,124,122,76,104,0.2,0.988107,65.0532,55.977
411,110,84,114,115,0.2,0.971692,34.8206,23.2283
412,56,94,95,78,0.2,0.760125,54.4674,37.832
413,28,57,109,75,0.2,0.998855,97.1876,82.4103
414,1,10,94,104,0.2,1,182.92,165.32
415,25,170,103,105,0.2,0.999866,139.576,118.468
416,93,122,85,78,0.2,0.955495,51.7167,37.9046
417,7,173,90,119,0.2,0.999986,130.574,125.872
418,19,52,95,106,0.2,0.999983,128.133,107.673
419,116,28,119,81,0.2,0.996924,55.3759,50.8881
420,132,100,98,92,0.2,0.99168,41.2254,31.1292
421,144,52,97,94,0.2,0.998813,86.8812,73.0297
422,4,88,63,97,0.2,0.995365,66.4206,58.5964
423,82,140,108,115,0.2,0.993271,50.1078,41.7916
424,90,72,96,113,0.2,0.889688,46.9869,33.5706
425,179,89,94,111,0.2,0.997674,105.348,96.5851
426,106,48,62,117,0.2,0.995667,110.335,81.5301
427,44,128,116,107,0.2,0.998705,91.2234,61.3508
428,36,3,115,86,0.2,1,157.899,131.91
429,149,137,117,81,0.2,0.999066,87.0137,62.9051
430,29,139,90,75,0.2,0.999892,122.319,89.8863
431,132,69,94,85,0.2,0.988969,52.8483,41.4764
432,59,32,87,69,0.2,0.998948,63.7327,59.6051
433,20,177,91,109,0.2,0.998516,135.354,122.128
434,162,155,90,94,0.2,1,131.279,91.0269
435,39,124,93,64,0.2,0.999807,111.106,88.0289
436,25,64,81,79,0.2,0.999181,69.8827,60.0578
437,63,36,68,70,0.2,0.998283,38.618,35.0655
438,114,40,102,92,0.2,0.998839,63.3373,55.4098
439,11,175,91,81,0.2,0.99989,170.741,150.73
440,164,87,85,67,0.2,0.989682,96.8657,72.5782
441,145,132,70,72,0.2,0.999998,133.018,97.0187
442,49,162,73,120,0.2,0.95853,65.098,52.4895
443,141,84,76,79,0.2,0.91453,68.9121,53.8851
444,47,168,83,71,0.2,0.996798,129.798,96.6656
445,31,95,106,93,0.2,0.978326,75.6363,65.9091
446,114,112,66,60,0.2,0.975514,97.545,44.26
447,12,136,79,72,0.2,0.991882,128.518,97.9021
448,30,49,81,82,0.2,0.99997,82.8222,78.935
449,144,176,78,93,0.2,0.999979,146.405,108.523
450,106,36,93,112,0.2,0.991175,87.9691,78.0358
451,163,160,67,97,0.2,0.999925,156.453,113.484
452,78,10,79,78,0.2,0.999871,68.2446,64.1742
453,88,174,65,120,0.2,0.991506,75.5341,63.0212
454,52,137,86,117,0.2,0.947307,53.6773,41.1638
455,62,28,113,62,0.2,0.999244,83.5868,70.3847
456,110,158,99,62,0.2,0.970749,105.258,73.5578
457,139,172,95,69,0.2,0.999469,144.206,110.8
458,17,21,91,76,0.2,0.999986,125.944,117.443
459,22,98,93,81,0.2,0.973427,86.862,66.1342
460,146,156,83,63,0.2,0.999978,153.602,88.2832
461,172,152,108,96,0.2,0.999956,117.221,99.9624
462,12,113,64,64,0.2,0.818801,102.244,71.0394
463,14,94,83,93,0.2,0.999472,69.0498,64.0579
464,142,90,113,94,0.2,0.951863,32.649,26.618
465,75,31,81,94,0.2,0.987389,68.0875,62.439
466,11,47,93,61,0.2,0.999985,93.977,90.2009
467,65,32,104,114,0.2,0.999949,119.486,81.508
468,142,137,73,101,0.2,0.999128,103.917,88.2703
469,137,36,92,98,0.2,0.999865,104.53,97.5693
470,101,107,107,74,0.2,0.716043,38.6406,24.6465
471,116,121,65,79,0.2,0.986311,92.0966,54.7048
472,67,114,106,119,0.2,0.894392,43.8827,31.7615
473,81,123,73,98,0.2,0.992865,32.6978,25.8992
474,75,98,67,82,0.2,0.830027,25.4147,15.1033
475,101,68,94,65,0.2,0.803045,10.5861,5.92743
476,56,166,80,106,0.2,0.998801,80.8174,74.0657
477,79,17,109,120,0.2,0.999907,131.449,105.376
478,163,172,107,61,0.2,0.99197,164.019,116.183
479,163,1,73,97,0.2,0.999988,182.71,152.429
480,71,53,119,79,0.2,0.998644,73.03,61.7758
481,68,139,98,87,0.2,0.993608,81.2815,60.2936
482,121,48,112,82,0.2,0.995366,42.7511,38.1597
483,175,154,73,78,0.2,1,175.073,104.059
484,91,162,114,61,0.2,0.99978,121.168,94.0964
485,58,136,67,79,0.2,0.990828,65.1974,55.699
486,27,29,90,62,0.2,0.999805,93.5734,85.9649
487,148,77,82,99,0.2,0.970341,85.1387,66.378
488,43,97,69,112,0.2,0.878685,40.4614,30.8583
489,25,117,71,67,0.2,0.972873,93.992,75.9583
490,136,1,74,64,0.2,0.998665,122.081,93.5107
491,157,136,109,105,0.2,0.995947,77.9458,62.3899
492,141,123,118,67,0.2,0.99878,78.2132,70.744
493,67,76,105,75,0.2,0.961422,39.2908,28.3286
494,6,60,93,78,0.2,0.999893,102.217,94.7797
495,52,167,85,90,0.2,0.992594,107.902,92.9449
496,45,109,117,90,0.2,0.993444,89.4438,66.4512
